,Trend Component,,DATE,PINTI17Q1,,,,,,,,
271,1298.55,,2014:Q3,1311.8,,1.24396455,1299.793965,12,0.009152337,,0.09637679,1.070853222
272,1297.8875,,2014:Q4,1304.6,,-1.15295569,1296.734544,7.9,0.006029017,,,
273,1302.6125,,2015:Q1,1266,,-0.13823769,1302.474262,-36.5,0.028810634,,,
274,1304.2,,2015:Q2,1315.9,,0.16251997,1304.36252,11.5,0.008767748,,,
275,1306.5125,,2015:Q3,1336.1,,-0.01602662,1306.496473,29.6,0.02215667,,,
276,1309.5625,,2015:Q4,1293,,-0.05017207,1309.512328,-16.5,0.012770555,,,
277,1306.5625,,2016:Q1,1296.1,,-0.02007239,1306.542428,-10.4,0.008056807,,,
278,1309.3875,,2016:Q2,1310.2,,-0.01688518,1309.370615,0.8,0.000633022,,,
,,,2016:Q3,,,,,,,,,
,,,2016:Q4,,,,,,,,,
,,,2017:Q1,,,,,,,,,
,,,2017:Q2,,,,,,,,,
,,,2017:Q3,,,,,,,,,
,,,2017:Q4,,,,,,,,,
,,,2018:Q1,,,,,,,,,
,,,2018:Q2,,,,,,,,,
,,,2018:Q3,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Intercept,524.1950634,,,,,,,,,,,
Slope,,,,,,,,,,,,
